DrugBank_ID,Drug_Name,Predicted_Disease_ID,Predicted_Disease_Name,Matched_Targets,Bridging_Genes,Rule_Confidence,Rule_Growth_Rate,Validation_Status
DB05721,EVT 201,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB01178,Chlormezanone,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB00842,Oxazepam,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB00829,Diazepam,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB01567,Fludiazepam,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB01589,Quazepam,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,✅ Spark验证集完美命中
DB01559,Clotiazepam,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB03425,"2s,4r-4-Methylglutamate",C0917801,Sleeplessness,"TARGET_Glutamate_receptor_ionotropic,_kainate_2",间接机制,1.0,inf,🌟 零样本全新发现
DB01489,Camazepam,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB01236,Sevoflurane,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB01511,Delorazepam,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB01189,Desflurane,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB01043,Memantine,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB01107,Methyprylon,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,✅ Spark验证集完美命中
DB01159,Halothane,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB13437,Medazepam,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB01595,Nitrazepam,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,✅ Spark验证集完美命中
DB15490,Zuranolone,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB15489,Mexazolam,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB01028,Methoxyflurane,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB00228,Enflurane,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB13872,Lormetazepam,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB14028,Nordazepam,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB14672,Oxazepam acetate,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB14715,Cinazepam,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB00818,Propofol,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB14719,Bentazepam,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB00753,Isoflurane,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB05087,Ganaxolone,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
DB09017,Brotizolam,C0917801,Sleeplessness,TARGET_GABA(A)_Receptor,间接机制,0.8571428571428571,inf,🌟 零样本全新发现
